Issue Type,Summary,Epic Name,Epic Link,Labels,Description
Story,SRCH-2 Location input & filter (autocomplete/validation/radius),,Public Job Search,search,"City/postal input + Location facet. AC: autocomplete + blur validation (invalid city/postal via ARIA live); LocationField (city/region/postal, Postal normalized); radius via GeocodedLocationCache -> Google fallback -> write-back, geo_distance + geo sort; virtual-job force-inclusion (WorkplaceType 15141); lat0/lon180 fallback; tests. Docs: contracts.md §1; glossary.md; architecture.md §7. Depends: SRCH-1."
Story,SRCH-3 Standard filter facets (Job Type/Industry/Education/Date),,Public Job Search,search,"Straightforward faceted filters as accessible dropdowns. AC: Job Type (hours/period/terms/workplace), Industry (NAICS), Education (EduLevel), Date (any/today/past-3d/range, end-of-day inclusive, TZ); Alpine open/close + Livewire apply; AND across groups, OR within; tests. Docs: contracts.md §1; architecture.md §7. Depends: SRCH-1."
Story,SRCH-4 Salary filter facet,,Public Job Search,search,"Salary type/brackets/custom/unknown/conditions. AC: SalaryType annualization (2080/52/26/12); brackets 1-5 + custom (6); unknown -> SalarySort.Descending<=-99999999; SearchSalaryConditions terms; tests. Docs: contracts.md §1; glossary.md; architecture.md §7. Depends: SRCH-1."
Story,SRCH-5 More filter facet,,Public Job Search,search,"Equity groups/language/NOC/source/exclude-agencies. AC: equity Is* terms; language (IsFederalJob for E+F); SearchNocField->Noc2021; job source 0-5 incl nested ExternalSource match_phrase groups; exclude placement agencies must_not EmployerTypeId:1; tests. Docs: contracts.md §1; architecture.md §7. Depends: SRCH-1."
Story,SRCH-6 Filter/URL serialization (shareable + alert-compatible),,Public Job Search,search,"Two-way URL<->JobSearchFilters mapping. AC: filters serialize to shareable URL and reconstruct exactly; compatible with JobAlerts.UrlParameters deep-links (or migration+redirect shim); lossless round-trip test per facet; v0/1 handled. Docs: contracts.md §1. Depends: SRCH-2..5."
Story,SRCH-7 Job detail page (SEO),,Public Job Search,search;seo,"Server-rendered crawlable detail page. AC: path-based URL (no hash); fetch by id (no expiry filter); JobPosting JSON-LD + title/meta/canonical (EN/FR); increment JobViews; print+share; a11y; renders in raw HTML test. Docs: contracts.md §2.1; architecture.md §6. Depends: SRCH-1."
Story,SRCH-7b External (Innovibe) job detail rendering,,Public Job Search,search;seo,"Render external job description (OpenSearch JobDescription) on our page with apply-to-source button (Innovibe terms confirmed). AC: for IsFederalJob=false render JobDescription + facts; 'Apply on {OriginalSource}' -> ExternalSourceUrl + 'via {source}' attribution; _source includes JobDescription/ExternalSource/OriginalSource; HTML-sanitize; self-canonical; expired-posting state; results+Drupal link to our detail page; tests. Docs: architecture.md §6; contracts.md §2.1. Depends: SRCH-7."
Story,SRCH-8 Job sitemap (SEO),,Public Job Search,search;seo,"sitemap.xml of active job URLs. AC: lists active (ExpireDate>=now) detail URLs EN/FR; regenerated on schedule (k8s CronJob) or cached; excludes expired/inactive; lastmod=LastUpdated; test contains active excludes expired. Docs: architecture.md §6; ADR-004. Depends: SRCH-7."
Story,SRCH-9 Map view (Google Maps + clustering),,Public Job Search,search,"Geographic results view. AC: pins from same filters (map query path), clustered; pin-selection parity (most-frequent city/region, multi-location, 5000 cap); Google Maps in Alpine, key from config; info-window -> detail; list equivalent remains (map not the only access). Docs: architecture.md §5.3,§7. Depends: SRCH-1."
Story,SRCH-10 Drupal-facing search API,,Public Job Search,search;api,"JSON API consumed by Drupal. AC: POST /api/Search/JobSearch (+/{language}) returns SearchResultsModel exact keys/casing (contracts.md §2.1); unknown field -> 400; profile-sidebar federal-first heuristic (NOC + PageSize<=10 + no source); GET gettotaljobs -> {count}; GET location/cities/{name}/true -> string[]; API Resources; feature tests. Docs: contracts.md §2; architecture.md §8. Depends: SRCH-1,FND-7."
Epic,Job Seeker Account,Job Seeker Account,,account,"Authenticated job-seeker experience: dashboard, saved jobs, alerts (+ PHP email sender replacing the .NET container), recommended jobs, saved profiles, settings. Full spec: docs/epics/EPIC-ACCOUNT.md"
Story,ACCT-1 Account dashboard,,Job Seeker Account,account,"Logged-in landing with summary + nav. AC: counts (saved jobs, active alerts, saved profiles); per-user data isolation (policy-scoped); a11y; test that another user's data is never shown. Docs: data-model.md. Depends: FND-5,FND-2."
Story,ACCT-2 Saved jobs,,Job Seeker Account,account,"Save/unsave + note. AC: save/unsave toggle from results+detail writing SavedJobs; 800-char Note + NoteUpdatedDate; soft-delete pair; list excludes deleted, joins Jobs; tests. Docs: data-model.md (SavedJobs). Depends: ACCT-1,SRCH-1/7."
Story,ACCT-3 Job alerts management (create/edit/list/delete),,Job Seeker Account,account,"Saved-search alerts reusing search filters. AC: create/edit stores JobSearchFilters JSON (+version) + Title + AlertFrequency + UrlParameters; live match-count (Livewire, PageSize=0); soft-delete + JobSeekerChangeLog audit row; v0/1 handled; alert/search URL compatible; tests. Docs: contracts.md §1; data-model.md (JobAlerts). Depends: ACCT-1,FND-7,SRCH-1..6."
Story,ACCT-4 Job alert email sender (PHP replaces .NET container),,Job Seeker Account,account;notifications,"PHP artisan sender; k8s CronJob controls cadence. AC: 'alerts:send --frequency=daily|weekly|biweekly|monthly' with a k8s CronJob per frequency; preserve semantics (daily; weekly Mon; biweekly 15th+EOM; monthly 1st); select eligible alerts (not deleted, owner Active, matching freq); run stored filters vs OpenSearch; send via SES/SendGrid/SMTP (config; SystemSettings email.%); queued + idempotent (no double-send/period); tests. Docs: ADR-004; contracts.md §1; data-model.md. Depends: ACCT-3,FND-3,FND-7."
Story,ACCT-5 Recommended jobs,,Job Seeker Account,account;search,"Personalized recommendations. AC: boost-weighted OpenSearch query from saved-job NOC2021/employers/titles/city with per-item boosts + minimum_should_match + IgnoreJobIdList; reads OpenSearch, base expiry filter; empty state; tests. Docs: architecture.md §7. Depends: ACCT-2,FND-7."
Story,ACCT-6 Saved career & industry profiles,,Job Seeker Account,account;api,"Save/remove career (NOC) + industry profiles. AC: SavedCareerProfiles (NocCodeId2021) + SavedIndustryProfiles (IndustryId) soft-delete; POST career-profiles/save/{id} + GET status/{id} (+industry) authenticated per contracts.md §2.4; list with titles; tests. Docs: contracts.md §2.4; data-model.md. Depends: ACCT-1."
Story,ACCT-7 Personal settings,,Job Seeker Account,account,"Profile management + password change. AC: edit FirstName/LastName/City/LocationId/CountryId/ProvinceId (maintain Normalized* on email change); change password rehashes to bcrypt (no MD5); profile change writes JobSeekerChangeLog; a11y; tests. Docs: ADR-003; data-model.md. Depends: ACCT-1,FND-5."
Epic,Admin & Reporting,Admin & Reporting,,admin,"Filament admin at parity with current WorkBC.Admin (job-seeker mgmt, job browsing, admin accounts, system settings) + reporting (Dapper-ported) + chart dashboard. Full spec: docs/epics/EPIC-ADMIN-REPORTING.md"
Story,ADM-1 Admin panel shell & role-based access,,Admin & Reporting,admin,"Filament panel behind Keycloak with role policies. AC: map AdminUsers.AdminLevel -> SuperAdmin/Admin/Reporting; nav to all areas each role-gated; gating tests. Docs: ADR-003; data-model.md. Depends: FND-6."
Story,ADM-2 Job Seeker management,,Admin & Reporting,admin,"Filament resource over AspNetUsers. AC: search (name/email/city), view, edit profile; lock/unlock (DateLocked, LockedByAdminUserId); AccountStatus change; edits write JobSeekerChangeLog; tests. Docs: data-model.md. Depends: ADM-1."
Story,ADM-3 Job Seeker history & admin notes,,Admin & Reporting,admin,"Seeker audit views + notes. AC: view JobSeekerVersions, JobSeekerChangeLog, JobSeekerEventLog; JobSeekerAdminComments add/pin/list; tests. Docs: data-model.md. Depends: ADM-2."
Story,ADM-4 Impersonation,,Admin & Reporting,admin,"Admin impersonates a seeker. AC: Filament action starts impersonated seeker session + writes ImpersonationLog (Token/AspNetUserId/AdminUserId/DateTokenCreated); end returns to admin; tests. Docs: data-model.md. Depends: ADM-2."
Story,ADM-5 Job / posting management,,Admin & Reporting,admin,"Browse jobs + version history. AC: Filament resource over Jobs, search (title/employer/JobId/source), view detail; view JobVersions history; job content READ-ONLY (owned by ingestion); tests. Docs: data-model.md; architecture.md §1a. Depends: ADM-1."
Story,ADM-6 Admin account management,,Admin & Reporting,admin,"AdminUsers CRUD. AC: CRUD, AdminLevel roles, lock/unlock, Deleted flag, audit (ModifiedByAdminUserId/DateUpdated); SuperAdmin-only; tests. Docs: data-model.md; ADR-003. Depends: ADM-1."
Story,ADM-7 System settings editor,,Admin & Reporting,admin,"SystemSettings editor. AC: list + edit by FieldType (Boolean/MultiLineText/Number/SingleLineText/Html); SuperAdmin-only; audit; Redis cache invalidation on save; proper per-type validation (numeric/range for Number, e.g. minimumWage positive decimal); tests. Docs: data-model.md; glossary.md; architecture.md §9. Depends: ADM-1."
Story,ADM-8 Core reports (Dapper ported),,Admin & Reporting,admin;reporting,"Port report queries to DB::select + DTOs. AC: Jobs by Region/City/Industry/Source, Top-20 NOC, NOC Summary, JobSeeker Accounts, JobSeekers by City/Location, JobSeeker Detail; read JobStats/JobSeekerStats (populated by usp_* procs via pg_cron) + tvf_* functions (call, don't reimplement); @Param->:Param (verify repeated placeholders); Excel export via OpenSpout/Laravel Excel; numeric parity vs .NET on a frozen period; tests. Docs: data-model.md §3-4; ADR-004. Depends: FND-2."
Story,ADM-9 Reporting dashboard & chart widgets,,Admin & Reporting,admin;reporting,"Charts on top of the core reports. AC: Filament dashboard with stat tiles (active jobs, new this week, alerts, seekers) + chart widgets (bar/line) with period/region/source filters driving all widgets; data from Reporting service; chart a11y (not colour-only, contrast, text/data-table alt); tests. Docs: REPORTING-ENHANCEMENTS; architecture.md. Depends: ADM-8."
